                                          0                     Reserved
ctf                                       84                    Common Trace Facility
mit-ml-dev                                85                    MIT ML Device
mfcobol                                   86                    Micro Focus Cobol
                                          87                    any private terminal link
kerberos                                  88                    Kerberos
su-mit-tg                                 89                    SU/MIT Telnet Gateway
dnsix                                     90                    DNSIX Securit Attribute Token Map
mit-dov                                   91                    MIT Dover Spooler
npp                                       92                    Network Printing Protocol
dcp                                       93                    Device Control Protocol
objcall                                   94                    Tivoli Object Dispatcher
supdup                                    95                    SUPDUP
dixie                                     96                    DIXIE Protocol Specification
swift-rvf                                 97                    Swift Remote Virtural File Protocol
tacnews                                   98                    TAC News
metagram                                  99                    Metagram Relay
newacct                                   100                   [unauthorized use]
hostname                                  101                   NIC Host Name Server
iso-tsap                                  102                   ISO-TSAP Class 0
gppitnp                                   103                   Genesis Point-to-Point Trans Net
acr-nema                                  104                   ACR-NEMA Digital Imag. & Comm. 300
csnet-ns                                  105                   Mailbox Name Nameserver
cso                                       105                   CCSO name server protocol
3com-tsmux                                106                   3COM-TSMUX
rtelnet                                   107                   Remote Telnet Service
snagas                                    108                   SNA Gateway Access Server
pop2                                      109                   Post Office Protocol - Version 2
pop3                                      110                   Post Office Protocol - Version 3
sunrpc                                    111                   SUN Remote Procedure Call
mcidas                                    112                   McIDAS Data Transmission Protocol
auth                                      113                   Authentication Service
ident                                     113
audionews                                 114                   Audio News Multicast
sftp                                      115                   Simple File Transfer Protocol
ansanotify                                116                   ANSA REX Notify
uucp-path                                 117                   UUCP Path Service
sqlserv                                   118                   SQL Services
nntp                                      119                   Network News Transfer Protocol
cfdptkt                                   120                   CFDPTKT
erpc                                      121                   Encore Expedited Remote Pro.Call
smakynet                                  122                   SMAKYNET
ntp                                       123                   Network Time Protocol
ansatrader                                124                   ANSA REX Trader
locus-map                                 125                   Locus PC-Interface Net Map Ser
locus-con                                 127                   Locus PC-Interface Conn Server
gss-xlicen                                128                   GSS X License Verification
pwdgen                                    129                   Password Generator Protocol
cisco-fna                                 130                   cisco FNATIVE
cisco-tna                                 131                   cisco TNATIVE
cisco-sys                                 132                   cisco SYSMAINT
statsrv                                   133                   Statistics Service
ingres-net                                134                   INGRES-NET Service
epmap                                     135                   DCE endpoint resolution
profile                                   136                   PROFILE Naming System
netbios-ns                                137                   NETBIOS Name Service
netbios-dgm                               138                   NETBIOS Datagram Service
netbios-ssn                               139                   NETBIOS Session Service
emfis-data                                140                   EMFIS Data Service
emfis-cntl                                141                   EMFIS Control Service
bl-idm                                    142                   Britton-Lee IDM
imap                                      143                   Internet Message Access Protocol
uaac                                      145                   UAAC Protocol
iso-tp0                                   146                   ISO-IP0
iso-ip                                    147                   ISO-IP
jargon                                    148                   Jargon
aed-512                                   149                   AED 512 Emulation Service
sql-net                                   150                   SQL-NET
hems                                      151                   HEMS
bftp                                      152                   Background File Transfer Program
sgmp                                      153                   SGMP
netsc-prod                                154                   NETSC
netsc-dev                                 155                   NETSC
sqlsrv                                    156                   SQL Service
knet-cmp                                  157                   KNET/VM Command/Message Protocol
pcmail-srv                                158                   PCMail Server
nss-routing                               159                   NSS-Routing
sgmp-traps                                160                   SGMP-TRAPS
snmp                                      161                   SNMP
snmptrap                                  162                   SNMPTRAP
cmip-man                                  163                   CMIP/TCP Manager
cmip-agent                                164                   CMIP/TCP Agent
xns-courier                               165                   Xerox
s-net                                     166                   Sirius Systems
namp                                      167                   NAMP
rsvd                                      168                   RSVD
send                                      169                   SEND
print-srv                                 170                   Network PostScript
multiplex                                 171                   Network Innovations Multiplex
cl/1                                      172                   Network Innovations CL/1
xyplex-mux                                173                   Xyplex
mailq                                     174                   MAILQ
vmnet                                     175                   VMNET
genrad-mux                                176                   GENRAD-MUX
xdmcp                                     177                   X Display Manager Control Protocol
nextstep                                  178                   NextStep Window Server
bgp                                       179                   Border Gateway Protocol
ris                                       180                   Intergraph
unify                                     181                   Unify
audit                                     182                   Unisys Audit SITP
ocbinder                                  183                   OCBinder
ocserver                                  184                   OCServer
remote-kis                                185                   Remote-KIS
kis                                       186                   KIS Protocol
aci                                       187                   Application Communication Interface
mumps                                     188                   Plus Five's MUMPS
qft                                       189                   Queued File Transport
gacp                                      190                   Gateway Access Control Protocol
prospero                                  191                   Prospero Directory Service
osu-nms                                   192                   OSU Network Monitoring System
srmp                                      193                   Spider Remote Monitoring Protocol
irc                                       194                   Internet Relay Chat Protocol
dn6-nlm-aud                               195                   DNSIX Network Level Module Audit
dn6-smm-red                               196                   DNSIX Session Mgt Module Audit Redir
dls                                       197                   Directory Location Service
dls-mon                                   198                   Directory Location Service Monitor
smux                                      199                   SMUX
src                                       200                   IBM System Resource Controller
at-rtmp                                   201                   AppleTalk Routing Maintenance
at-nbp                                    202                   AppleTalk Name Binding
at-3                                      203                   AppleTalk Unused
at-echo                                   204                   AppleTalk Echo
at-5                                      205                   AppleTalk Unused
at-zis                                    206                   AppleTalk Zone Information
at-7                                      207                   AppleTalk Unused
at-8                                      208                   AppleTalk Unused
qmtp                                      209                   The Quick Mail Transfer Protocol
z39.50                                    210                   ANSI Z39.50
914c/g                                    211                   Texas Instruments 914C/G Terminal
anet                                      212                   ATEXSSTR
ipx                                       213                   IPX         	
vmpwscs                                   214                   VM PWSCS
softpc                                    215                   Insignia Solutions
CAIlic                                    216                   Computer Associates Int'l License Server
dbase                                     217                   dBASE Unix
mpp                                       218                   Netix Message Posting Protocol
uarps                                     219                   Unisys ARPs
imap3                                     220                   Interactive Mail Access Protocolv3
fln-spx                                   221                   Berkeley rlogind with SPX auth
rsh-spx                                   222                   Berkeley rshd with SPX auth
cdc                                       223                   Certificate Distribution Center
direct                                    242                   Direct
sur-meas                                  243                   Survey Measurement
inbusiness                                244                   inbusiness
link                                      245                   LINK
dsp3270                                   246                   Display Systems Protocol
subntbcst_tftp                            247                   SUBNTBCST_TFTP
rap                                       256                   RAP
set                                       257                   Secure Electronic Transaction
yak-chat                                  258                   Yak Winsock Personal Chat
esro-gen                                  259                   Efficient Short Remote Operations
openport                                  260                   Openport
sst                                       266                   SCSI on ST
td-service                                267                   Tobit David Service Layer
td-replica                                268                   Tobit David Replica
http-mgmt                                 280                   http-mgmt
personal-link                             281                   Personal Link
fxp-1                                     286                   FXP-1
k-block                                   287                   K-BLOCK
entrusttime                               309                   EntrustTime
pdap                                      344                   Prospero Data Access Protocol
pawserv                                   345                   Perf Analysis Workbench
zserv                                     346                   Zebra server
fatserv                                   347                   Fatmen Server
csi-sgwp                                  348                   Cabletron Management Protocol
mftp                                      349                   mftp
matip-type-a                              350                   MATIP Type A
matip-type-b                              351                   MATIP Type B
clearcase                                 371                   Clearcase
ulistproc                                 372                   ListProcessor
legent-1                                  373                   Legent Corporation
legent-2                                  374                   Legent Corporation
hassle                                    375                   Hassle
nip                                       376                   Amiga Envoy Network Inquiry Proto
tnETOS                                    377                   NEC Corporation
dsETOS                                    378                   NEC Corporation
is99c                                     379                   TIA/EIA/IS-99 modem client
is99s                                     380                   TIA/EIA/IS-99 modem server
hp-collector                              381                   hp performance data collector
hp-managed-node                           382                   hp performance data managed node
hp-alarm-mgr                              383                   hp performance data alarm manager
arns                                      384                   A Remote Network Server System
ibm-app                                   385                   IBM Application
asa                                       386                   ASA Message Router Object Def.
aurp                                      387                   Appletalk Update-Based Routing Pro.
unidata-ldm                               388                   Unidata LDM
uis                                       390                   UIS
synotics-relay                            391                   SynOptics SNMP Relay Port
synotics-broker                           392                   SynOptics Port Broker Port
meta5                                     393                   Meta5
embl-ndt                                  394                   EMBL Nucleic Data Transfer
netcp                                     395                   NETscout Control Protocol
netware-ip                                396                   Novell Netware over IP
mptn                                      397                   Multi Protocol Trans. Net.
kryptolan                                 398                   Kryptolan
iso-tsap-c2                               399                   ISO Transport Class 2 Non-Control over TCP
work-sol                                  400                   Workstation Solutions
ups                                       401                   Uninterruptible Power Supply
genie                                     402                   Genie Protocol
decap                                     403                   decap
nced                                      404                   nced
ncld                                      405                   ncld
imsp                                      406                   Interactive Mail Support Protocol
timbuktu                                  407                   Timbuktu
prm-sm                                    408                   Prospero Resource Manager Sys. Man.
prm-nm                                    409                   Prospero Resource Manager Node Man.
decladebug                                410                   DECLadebug Remote Debug Protocol
rmt                                       411                   Remote MT Protocol
synoptics-trap                            412                   Trap Convention Port
smsp                                      413                   Storage Management Services Protocol
infoseek                                  414                   InfoSeek
bnet                                      415                   BNet
silverplatter                             416                   Silverplatter
onmux                                     417                   Onmux
hyper-g                                   418                   Hyper-G
ariel1                                    419                   Ariel
smpte                                     420                   SMPTE
ariel2                                    421                   Ariel
ariel3                                    422                   Ariel
opc-job-start                             423                   IBM Operations Planning and Control Start
opc-job-track                             424                   IBM Operations Planning and Control Track
icad-el                                   425                   ICAD
smartsdp                                  426                   smartsdp
svrloc                                    427                   Server Location
ocs_cmu                                   428                   OCS_CMU
ocs_amu                                   429                   OCS_AMU
utmpsd                                    430                   UTMPSD
utmpcd                                    431                   UTMPCD
iasd                                      432                   IASD
nnsp                                      433                   NNSP
mobileip-agent                            434                   MobileIP-Agent
mobilip-mn                                435                   MobilIP-MN
dna-cml                                   436                   DNA-CML
comscm                                    437                   comscm
dsfgw                                     438                   dsfgw
dasp                                      439                   dasp      Thomas Obermair
sgcp                                      440                   sgcp
decvms-sysmgt                             441                   decvms-sysmgt
cvc_hostd                                 442                   cvc_hostd
https                                     443                   http protocol over TLS/SSL
snpp                                      444                   Simple Network Paging Protocol
microsoft-ds                              445                   Microsoft-DS
ddm-rdb                                   446                   DDM-RDB
ddm-dfm                                   447                   DDM-RFM
ddm-ssl                                   448                   DDM-SSL
as-servermap                              449                   AS Server Mapper
tserver                                   450                   TServer
sfs-smp-net                               451                   Cray Network Semaphore server
creativeserver                            453                   CreativeServer
contentserver                             454                   ContentServer
creativepartnr                            455                   CreativePartnr
macon-tcp                                 456                   macon-tcp
scohelp                                   457                   scohelp
appleqtc                                  458                   apple quick time
ampr-rcmd                                 459                   ampr-rcmd
skronk                                    460                   skronk
datasurfsrv                               461                   DataRampSrv
datasurfsrvsec                            462                   DataRampSrvSec
alpes                                     463                   alpes
kpasswd                                   464                   kpasswd
digital-vrc                               466                   digital-vrc
mylex-mapd                                467                   mylex-mapd
photuris                                  468                   proturis
rcp                                       469                   Radio Control Protocol
scx-proxy                                 470                   scx-proxy
mondex                                    471                   Mondex
ljk-login                                 472                   ljk-login
hybrid-pop                                473                   hybrid-pop
tn-tl-w1                                  474                   tn-tl-w1
tcpnethaspsrv                             475                   tcpnethaspsrv
tn-tl-fd1                                 476                   tn-tl-fd1
ss7ns                                     477                   ss7ns
spsc                                      478                   spsc
iafserver                                 479                   iafserver
iafdbase                                  480                   iafdbase
ph                                        481                   Ph service
bgs-nsi                                   482                   bgs-nsi
ulpnet                                    483                   ulpnet
integra-sme                               484                   Integra Software Management Environment
powerburst                                485                   Air Soft Power Burst
avian                                     486                   avian
saft                                      487                   saft Simple Asynchronous File Transfer
gss-http                                  488                   gss-http
nest-protocol                             489                   nest-protocol
micom-pfs                                 490                   micom-pfs
go-login                                  491                   go-login
ticf-1                                    492                   Transport Independent Convergence for FNA
ticf-2                                    493                   Transport Independent Convergence for FNA
pov-ray                                   494                   POV-Ray
intecourier                               495                   intecourier
pim-rp-disc                               496                   PIM-RP-DISC
dantz                                     497                   dantz
siam                                      498                   siam
iso-ill                                   499                   ISO ILL Protocol
isakmp                                    500                   isakmp
stmf                                      501                   STMF
asa-appl-proto                            502                   asa-appl-proto
intrinsa                                  503                   Intrinsa
citadel                                   504                   citadel
mailbox-lm                                505                   mailbox-lm
ohimsrv                                   506                   ohimsrv
crs                                       507                   crs
xvttp                                     508                   xvttp
snare                                     509                   snare
fcp                                       510                   FirstClass Protocol
passgo                                    511                   PassGo
exec                                      512                   remote process execution;
login                                     513                   remote login a la telnet;
shell                                     514                   cmd
printer                                   515                   spooler
videotex                                  516                   videotex
talk                                      517                   like tenex link, but across
ntalk                                     518
utime                                     519                   unixtime
efs                                       520                   extended file name server
ripng                                     521                   ripng
ulp                                       522                   ULP
ibm-db2                                   523                   IBM-DB2
ncp                                       524                   NCP
timed  	                                  525                   timeserver
stx                                       527                   Stock IXChange
custix                                    528                   Customer IXChange
irc-serv                                  529                   IRC-SERV
courier                                   530                   rpc
conference                                531                   chat
netnews                                   532                   readnews
netwall	                                  533                   for emergency broadcasts
mm-admin                                  534                   MegaMedia Admin
iiop                                      535                   iiop
opalis-rdv                                536                   opalis-rdv
nmsp                                      537                   Networked Media Streaming Protocol
gdomap                                    538                   gdomap
apertus-ldp                               539                   Apertus Technologies Load Determination
uucp-rlogin                               541                   uucp-rlogin
commerce                                  542                   commerce
klogin                                    543
kshell 	                                  544                   krcmd
appleqtcsrvr                              545                   appleqtcsrvr
dhcpv6-client                             546                   DHCPv6 Client
dhcpv6-server                             547                   DHCPv6 Server
afpovertcp                                548                   AFP over TCP
idfp                                      549                   IDFP
new-rwho                                  550                   new-who
cybercash                                 551                   cybercash
deviceshare                               552                   deviceshare
pirp                                      553                   pirp
rtsp                                      554                   Real Time Stream Control Protocol
dsf                                       555
remotefs                                  556                   rfs server
openvms-sysipc                            557                   openvms-sysipc
sdnskmp                                   558                   SDNSKMP
teedtap                                   559                   TEEDTAP
rmonitor                                  560                   rmonitord
monitor                                   561
chshell                                   562                   chcmd
nntps                                     563                   nntp protocol over TLS/SSL (wassnntp)
9pfs                                      564                   plan 9 file service
whoami                                    565                   whoami
streettalk                                566                   streettalk
banyan-rpc                                567                   banyan-rpc
ms-shuttle                                568                   microsoft shuttle
ms-rome                                   569                   microsoft rome
meter                                     570                   demon
sonar                                     572                   sonar
banyan-vip                                573                   banyan-vip
ftp-agent                                 574                   FTP Software Agent System
vemmi                                     575                   VEMMI
ipcd                                      576                   ipcd
vnas                                      577                   vnas
ipdd                                      578                   ipdd
sntp-heartbeat                            580                   SNTP HEARTBEAT
scc-security                              582                   SCC Security
http-rpc-epmap                            593                   HTTP RPC Ep Map
ipcserver                                 600                   Sun IPC server
urm                                       606                   Cray Unified Resource Manager
sift-uft                                  608                   Sender-Initiated/Unsolicited File Transfer
npmp-trap                                 609                   npmp-trap
npmp-local                                610                   npmp-local
npmp-gui                                  611                   npmp-gui
sco-websrvrmgr                            620                   SCO WebServer Manager
ginad                                     634                   ginad
rlzdbase                                  635                   RLZ DBase
ldaps                                     636                   ldap protocol over TLS/SSL (wassldap)
lanserver                                 637                   lanserver
dhcp-failover                             647                   DHCP Failover
doom                                      666                   doom Id Software
mdqs                                      666
disclose                                  667                   campaign contribution disclosures - SDR Technologies
mecomm                                    668                   MeComm
meregister                                669                   MeRegister
vacdsm-sws                                670                   VACDSM-SWS
vacdsm-app                                671                   VACDSM-APP
vpps-qua                                  672                   VPPS-QUA
cimplex                                   673                   CIMPLEX
ieee-mms-ssl                              695                   IEEE-MMS-SSL
rushd                                     696                   RUSHD
uuidgen                                   697                   UUIDGEN
olsr                                      698                   OLSR
accessnetwork                             699                   Access Network
entrust-kmsh                              709                   Entrust Key Management Service Handler
entrust-ash                               710                   Entrust Administration Service Handler
netviewdm1                                729                   IBM NetView DM/6000 Server/Client
netviewdm2                                730                   IBM NetView DM/6000 send/tcp
netviewdm3                                731                   IBM NetView DM/6000 receive/tcp
netgw                                     741                   netGW
netrcs                                    742                   Network based Rev. Cont. Sys.
flexlm                                    744                   Flexible License Manager
fujitsu-dev                               747                   Fujitsu Device Control
ris-cm                                    748                   Russell Info Sci Calendar Manager
kerberos-adm                              749                   kerberos administration
rrh    	                                  753
cycleserv                                 763
webster	                                  765
phonebook                                 767                   phone
cadlock                                   770
cycleserv2                                772
rpasswd	                                  774
concert                                   786                   Concert
dhcp-failover2                            847                   dhcp-failover 2
iclcnet-locate                            886                   ICL coNETion locate server
iclcnet_svinfo                            887                   ICL coNETion server info
accessbuilder                             888                   AccessBuilder
cddbp                                     888                   CD Database Protocol
omginitialrefs                            900                   OMG Initial Refs
smpnameres                                901                   SMPNAMERES
ideafarm-chat                             902                   IDEAFARM-CHAT
ideafarm-catch                            903                   IDEAFARM-CATCH
xact-backup                               911                   xact-backup
pop3s                                     995                   pop3 protocol over TLS/SSL (wasspop3)
vsinet                                    996                   vsinet
maitrd                                    997
busboy                                    998
garcon                                    999
cadlock2                                  1000
Unassigned                                1001                  Unassigned
Unassigned                                1002                  Unassigned
Unassigned                                1003                  Unassigned
Unassigned                                1004                  Unassigned
Unassigned                                1005                  Unassigned
Unassigned                                1006                  Unassigned
Unassigned                                1007                  Unassigned
Unassigned                                1008                  Unassigned
Unassigned                                1009                  Unassigned
Surf                                      1010                  Surf
Reserved                                  1011                  Reserved
Reserved                                  1012                  Reserved
Reserved                                  1013                  Reserved
Reserved                                  1014                  Reserved
Reserved                                  1015                  Reserved
Reserved                                  1016                  Reserved
Reserved                                  1017                  Reserved
Reserved                                  1018                  Reserved
Reserved                                  1019                  Reserved
Reserved                                  1020                  Reserved
Reserved                                  1021                  Reserved
Reserved                                  1022                  Reserved
Reserved                                  1023                  Reserved
